0.00898,0.612,0.799,0,10,0.172,-4.603,1,0.0275,125.976,4,0.675,What Ifs,Kane Brown,frantic
0.918,0.331,0.0861,0.902,5,0.106,-21.226,1,0.0354,107.436,4,0.152,I Have Dreamed,Christian McBride,lonely
0.0175,0.564,0.737,0,9,0.054,-4.079,1,0.0414,104.764,4,0.231,Middle,DJ Snake,calm
0.0481,0.603,0.944,0,11,0.342,-3.626,0,0.347,130.035,4,0.398,I've Seen Footage,Death Grips,frantic
0.0458,0.704,0.928,0,8,0.345,-3.422,1,0.0443,113.981,4,0.96,Lifer,MercyMe,energetic
0.0446,0.853,0.676,3.37E-05,6,0.0514,-5.533,0,0.0715,122.65,4,0.558,Don't Stop The Music,Rihanna,energetic
0.9,0.582,0.401,0.538,2,0.157,-8.731,1,0.028,112.357,4,0.414,No Woman,Whitney,contentment
0.456,0.514,0.453,0.000181,6,0.178,-7.062,1,0.0267,75.548,4,0.532,Coming Home,Leon Bridges,depression
0.000259,0.644,0.758,0.0708,5,0.0726,-7.859,1,0.0458,108.99,4,0.752,Dark Matter,Feathers,anxious
1.56E-05,0.493,0.964,0.00733,1,0.727,-3.079,1,0.0954,110.005,4,0.17,Drown Me in Blood,Carnifex,enraged
0.0102,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.286,Mask Off,Future,energetic
0.0724,0.827,0.646,0,1,0.247,-4.727,0,0.0766,92.057,4,0.51,Chillax,Farruko,calm
0.0119,0.473,0.794,0.00218,9,0.418,-5.151,1,0.0462,139.313,4,0.293,Harlem Shake,Baauer,exuberant
0.914,0.425,0.136,0.921,11,0.127,-17.382,1,0.0293,168.527,3,0.227,The Sweetest Nighlife,Ellie & The Bunch,lonely
0.00166,0.587,0.841,0.53,11,0.117,-5.079,0,0.0476,142.95,4,0.696,Celebrando,CLUBZ,happy
0.243,0.683,0.691,0,8,0.14,-5.535,1,0.0432,179.91,4,0.746,El Amante,Nicky Jam,exuberant
0.0305,0.874,0.492,0,2,0.117,-4.898,1,0.328,64.992,4,0.644,Long Heels Red Bottoms,Trina,frantic
0.157,0.729,0.818,0.285,2,0.195,-9.992,1,0.0732,125.811,4,0.909,Bang A Gong [Get It On] (Remastered Single/LP Version),T. Rex,contentment
0.251,0.569,0.74,2.68E-06,0,0.134,-6.235,1,0.283,180.559,4,0.709,Dancing In The Rain,Blu,calm
0.025,0.854,0.46,0,10,0.128,-9.71,0,0.14,97.512,4,0.492,Gas Pedal (feat. IamSu),Sage The Gemini,frantic
0.0246,0.586,0.806,0.000167,1,0.353,-9.542,1,0.0548,110.325,4,0.207,Her Fantasy,Matthew Dear,anxious
0.0365,0.829,0.637,0.0233,5,0.267,-9.481,0,0.0882,120.761,4,0.688,Changes,Crazy P,frantic
0.000103,0.498,0.553,0.528,5,0.273,-6.193,1,0.0332,111.015,4,0.228,Kim & Jessie,M83,calm
0.0151,0.502,0.732,0.000119,1,0.0897,-5.45,1,0.168,122.025,4,0.529,Latch,Disclosure,exuberant
0.286,0.706,0.689,0,6,0.123,-5.533,1,0.17,144.127,4,0.42,Ahora Dice,Chris Jeday,energetic
0.854,0.354,0.228,0.8,0,0.113,-10.304,1,0.0296,82.758,3,0.0745,Cloud Atlas End Title,Tom Tykwer,lonely
0.0159,0.591,0.577,0,2,0.162,-6.107,1,0.0331,156.107,4,0.52,Man Enough Now,Chris Bandi,depression
0.0197,0.593,0.814,0,9,0.18,-4.802,1,0.166,146.919,4,0.47,Faster than Boyz,Victorious Cast,happy
0.162,0.529,0.95,0.00199,9,0.616,-3.446,1,0.056,119.964,4,0.456,Sacrilege,Yeah Yeah Yeahs,frantic
0.0757,0.572,0.853,0,1,0.0798,-3.203,1,0.217,171.297,4,0.0995,'Till I Collapse,Eminem,enraged
0.00477,0.585,0.614,0.000155,10,0.0762,-5.594,0,0.037,114.059,4,0.273,Cool for the Summer,Demi Lovato,contentment
0.0242,0.735,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4,0.763,C O O L - Radio Edit,Le Youth,exuberant
0.498,0.331,0.427,0,3,0.108,-7.431,1,0.0302,157.938,3,0.129,Oh My Soul,Casting Crowns,depression
0.429,0.616,0.401,0,0,0.161,-7.318,1,0.0344,143.75,4,0.354,Can't Blame a Girl for Trying,Sabrina Carpenter,contentment
7.94E-06,0.236,0.981,0.874,6,0.325,-2.635,1,0.299,160.114,4,0.129,Soil the Stillborn,Infant Annihilator,enraged
0.144,0.736,0.616,2.29E-06,4,0.268,-8.016,1,0.0345,101.966,4,0.89,Safe,Bay Ledges,calm
0.013,0.853,0.56,0,1,0.0944,-4.961,1,0.0406,134.066,4,0.853,That's What I Like,Bruno Mars,happy
0.0555,0.735,0.798,0.0627,0,0.161,-6.175,1,0.127,113.997,4,0.469,Losing You,Solange,exuberant
0.0551,0.547,0.643,0,1,0.267,-8.904,1,0.227,143.064,4,0.187,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,frantic
0.537,0.191,0.664,1.23E-06,1,0.353,-4.125,1,0.0456,203.822,3,0.545,Puppy Love,Donny Osmond,lonely
0.00107,0.507,0.918,8.70E-06,2,0.311,-4.684,1,0.0701,92.006,4,0.275,Help,Papa Roach,anxious
